Category,Building,Level,Hitpoints,DPS,Cost,Time,Required Town Hall
Army,Dark Barracks,7,800,,4000000,5d,10
Army,Dark Barracks,8,850,,7000000,6d,11
Army,Dark Barracks,9,900,,7200000,7d,12
Army,Dark Barracks,10,950,,10000000,7d 12h,13
Army,Dark Barracks,11,1000,,12000000,8d,14
Army,Dark Barracks,12,1050,,20000000,9d,15
Army,Dark Spell Factory,1,600,,130000,6h,8
Army,Dark Spell Factory,2,660,,260000,12h,8
Army,Dark Spell Factory,3,720,,600000,2d,9
Army,Dark Spell Factory,4,780,,1200000,3d,9
Army,Dark Spell Factory,5,840,,2500000,5d,10
Army,Dark Spell Factory,6,950,,4000000,6d,12
Army,Dark Spell Factory,7,1010,,11000000,7d,14
Army,Laboratory,1,500,,5000,1m,3
Army,Laboratory,2,550,,25000,30m,4
Army,Laboratory,3,600,,50000,2h,5
Army,Laboratory,4,650,,100000,4h,6
Army,Laboratory,5,700,,200000,8h,7
Army,Laboratory,6,750,,400000,16h,8
Army,Laboratory,7,830,,800000,1d,9
Army,Laboratory,8,950,,1300000,1d 18h,10
Army,Laboratory,9,1070,,2100000,2d 18h,11
Army,Laboratory,10,1140,,3800000,4d,12
Army,Laboratory,11,1210,,5500000,6d,13
Army,Laboratory,12,1280,,8100000,7d,14
Army,Laboratory,13,1350,,10800000,8d,15
Army,Laboratory,14,1400,,13000000,9d,16
Army,Laboratory,15,1450,,18000000,10d,17
Army,Laboratory,16,1500,,27000000,16d,18
Army,Pet House,1,700,,3000000,1d,14
Army,Pet House,2,800,,4000000,2d,14
Army,Pet House,3,900,,5000000,3d,14
Army,Pet House,4,1000,,6000000,3d 12h,14
Army,Pet House,5,1050,,7000000,4d,15
Army,Pet House,6,1100,,8000000,4d 12h,15
Army,Pet House,7,1150,,9000000,5d,15
Army,Pet House,8,1200,,10000000,5d 12h,15
Army,Pet House,9,1250,,11000000,6d,16
Army,Pet House,10,1300,,12000000,7d,16
Army,Pet House,11,1350,,16500000,8d,17
Army,Pet House,12,1400,,25500000,13d 12h,18
Army,Spell Factory,1,425,,150000,6h,5
Army,Spell Factory,2,470,,300000,12h,6
Army,Spell Factory,3,520,,600000,1d,7
Army,Spell Factory,4,600,,1200000,2d,9
Army,Spell Factory,5,720,,2000000,3d,10
Army,Spell Factory,6,840,,3500000,5d,11
Army,Spell Factory,7,960,,9000000,7d,13
Army,Spell Factory,8,1080,,14000000,8d,15
Army,Spell Factory,9,1150,,24000000,9d,16
Army,Workshop,1,1000,,2400000,2d,12
Army,Workshop,2,1100,,3700000,3d,12
Army,Workshop,3,1200,,5000000,3d 12h,12
Army,Workshop,4,1300,,8700000,4d,13
Army,Workshop,5,1400,,9000000,5d,13
Army,Workshop,6,1500,,10000000,5d 12h,14
Army,Workshop,7,1600,,11000000,6d,15
Army,Workshop,8,1700,,13000000,7d,16
Army,Workshop,9,1800,,26000000,13d 12h,17
Builder Base,Crusher,1,1000,125,120000,2h,3
Builder Base,Crusher,2,1100,138,180000,5h,3
Builder Base,Crusher,3,1250,152,220000,12h,3
Builder Base,Crusher,4,1400,167,350000,1d,4
Builder Base,Crusher,5,1600,184,1200000,2d,5
Builder Base,Crusher,6,1850,202,1500000,4d,6
Builder Base,Crusher,7,2100,222,2400000,6d,7
Builder Base,Crusher,8,2350,244,3400000,8d,8
Builder Base,Crusher,9,2600,269,4400000,10d,9
Builder Base,Crusher,10,2900,296,5400000,12d,10
Builder Base,Double Cannon,1,600,91,20000,10m,2
Builder Base,Double Cannon,2,690,101,50000,1h,3
Builder Base,Double Cannon,3,800,112,80000,3h,3
Builder Base,Double Cannon,4,910,123,300000,12h,4
Builder Base,Double Cannon,5,1050,136,900000,1d,5
Builder Base,Double Cannon,6,1250,148,1400000,2d,6
Builder Base,Double Cannon,7,1450,163,2200000,4d,7
Builder Base,Double Cannon,8,1700,180,3200000,6d,8
Builder Base,Double Cannon,9,1950,198,4200000,8d,9
Builder Base,Double Cannon,10,2200,220,5200000,10d,10
Builder Base,Giant Cannon,1,700,41,2000000,1d,7
Builder Base,Giant Cannon,2,800,45,2100000,2d,7
Builder Base,Giant Cannon,3,950,49,2200000,3d,7
Builder Base,Giant Cannon,4,1100,54,2300000,4d,7
Builder Base,Giant Cannon,5,1300,60,2400000,5d,7
Builder Base,Giant Cannon,6,1500,66,2500000,6d,7
Builder Base,Giant Cannon,7,1700,72,2700000,8d,7
Builder Base,Giant Cannon,8,1900,79,3800000,10d,8
Builder Base,Giant Cannon,9,2150,87,4700000,11d,9
Builder Base,Giant Cannon,10,2400,96,5700000,12d,10
Builder Base,Guard Post,1,300,,200000,4h,4
Builder Base,Guard Post,2,350,,240000,8h,4
Builder Base,Guard Post,3,400,,280000,12h,4
Builder Base,Guard Post,4,460,,320000,1d,4
Builder Base,Guard Post,5,550,,1000000,2d,5
Builder Base,Guard Post,6,650,,1400000,4d,6
Builder Base,Guard Post,7,750,,2300000,6d,7
Builder Base,Guard Post,8,850,,3200000,8d,8
Builder Base,Guard Post,9,1000,,4100000,10d,9
Builder Base,Guard Post,10,1150,,5100000,12d,10
Builder Base,Lava Launcher,1,450,,N/A,N/A,
Builder Base,Lava Launcher,2,800,,3000000,4h,
Builder Base,Lava Launcher,3,1200,,4000000,6h,
Builder Base,Lava Launcher,4,1600,,5000000,8h,
Builder Base,Lava Launcher,5,2100,,6000000,10h,
Builder Base,Lava Launcher,6,2600,,7000000,12h,
Builder Base,Lava Launcher,7,3100,,8000000,1d,
Builder Base,Lava Launcher,8,3600,,9000000,2d,
Builder Base,Lava Launcher,9,4200,,10000000,4d,
Builder Base,Lava Launcher,10,4900,,11000000,8d,
Builder Base,Mega Tesla,1,700,95,3000000,2d,8
Builder Base,Mega Tesla,2,800,104,3100000,3d,8
Builder Base,Mega Tesla,3,950,115,3200000,4d,8
Builder Base,Mega Tesla,4,1100,126,3300000,5d,8
Builder Base,Mega Tesla,5,1300,139,3400000,6d,8
Builder Base,Mega Tesla,6,1500,153,3600000,7d,8
Builder Base,Mega Tesla,7,1700,168,3800000,8d,8
Builder Base,Mega Tesla,8,1900,185,4000000,10d,8
Builder Base,Mega Tesla,9,2150,204,4800000,11d,9
Builder Base,Mega Tesla,10,2400,224,5800000,12d,10
Builder Base,Roaster,1,960,,N/A,N/A,
Builder Base,Roaster,2,1500,,3500000,6h,
Builder Base,Roaster,3,2000,,4500000,8h,
Builder Base,Roaster,4,2500,,5500000,10h,
Builder Base,Roaster,5,3000,,6500000,12h,
Builder Base,Roaster,6,3500,,7500000,14h,
Builder Base,Roaster,7,4000,,8500000,1d 2h,
Builder Base,Roaster,8,4500,,10000000,2d 4h,
Builder Base,Roaster,9,5200,,11500000,4d 6h,
Builder Base,Roaster,10,6000,,13000000,8d 12h,
Builder Base Traps,Mega Mine,1,,,30000,N/A,4
Builder Base Traps,Mega Mine,2,,,40000,1h,4
Builder Base Traps,Mega Mine,3,,,50000,3h,4
Builder Base Traps,Mega Mine,4,,,80000,6h,4
Builder Base Traps,Mega Mine,5,,,120000,12h,5
Builder Base Traps,Mega Mine,6,,,300000,1d,6
Builder Base Traps,Mega Mine,7,,,600000,1d 12h,7
Builder Base Traps,Mega Mine,8,,,1000000,2d,8
Builder Base Traps,Mega Mine,9,,,1400000,3d,9
Builder Base Traps,Mega Mine,10,,,2500000,4d,10
Builder Base Traps,Mine,1,,,5000,N/A,3
Builder Base Traps,Mine,2,,,10000,30m,3
Builder Base Traps,Mine,3,,,15000,1h,3
Builder Base Traps,Mine,4,,,25000,2h,4
Builder Base Traps,Mine,5,,,50000,6h,5
Builder Base Traps,Mine,6,,,80000,12h,6
Builder Base Traps,Mine,7,,,120000,1d,7
Builder Base Traps,Mine,8,,,250000,1d 12h,8
Builder Base Traps,Mine,9,,,500000,2d,9
Builder Base Traps,Mine,10,,,1500000,2d 12h,10
Builder Base Traps,Push Trap,1,,,1000,N/A,2
Builder Base Traps,Push Trap,2,,,3000,5m,3
Builder Base Traps,Push Trap,3,,,10000,20m,3
Builder Base Traps,Push Trap,4,,,20000,2h,4
Builder Base Traps,Push Trap,5,,,40000,4h,5
Builder Base Traps,Push Trap,6,,,60000,12h,6
Builder Base Traps,Push Trap,7,,,100000,16h,7
Builder Base Traps,Push Trap,8,,,200000,1d,8
Builder Base Traps,Push Trap,9,,,300000,1d 12h,9
Builder Base Traps,Push Trap,10,,,500000,2d,10
Builder Base Troops,Beta Minion,3,200,60,N/A,N/A,N/A
Builder Base Troops,Beta Minion,4,200,60,50000,4h,3
Builder Base Troops,Beta Minion,5,220,65,110000,8h,3
Builder Base Troops,Beta Minion,6,220,65,220000,12h,3
Builder Base Troops,Beta Minion,7,242,72,330000,18h,4
Builder Base Troops,Beta Minion,8,242,72,360000,1d,4
Builder Base Troops,Beta Minion,9,266,81,900000,1d 12h,5
Builder Base Troops,Beta Minion,10,266,81,1100000,2d,5
Builder Base Troops,Beta Minion,11,293,90,1300000,2d,6
Builder Base Troops,Beta Minion,12,293,90,1500000,2d 12h,6
Builder Base Troops,Beta Minion,13,322,99,2300000,3d 12h,7
Builder Base Troops,Beta Minion,14,322,99,2500000,4d 12h,7
Builder Base Troops,Beta Minion,15,355,108,3300000,5d 12h,8
Builder Base Troops,Beta Minion,16,355,108,3500000,5d 12h,8
Builder Base Troops,Beta Minion,17,390,117,4000000,6d,9
Builder Base Troops,Beta Minion,18,390,117,4200000,6d,9
Builder Base Troops,Beta Minion,19,429,126,4800000,6d 12h,10
Builder Base Troops,Beta Minion,20,429,126,5400000,6d 12h,10
Builder Base Troops,Bomber,5,605,80,N/A,N/A,N/A
Builder Base Troops,Bomber,6,605,80,320000,16h,4
Builder Base Troops,Bomber,7,666,90,340000,20h,4
Builder Base Troops,Bomber,8,666,90,360000,1d,4
Builder Base Troops,Bomber,9,732,100,900000,1d 12h,5
Builder Base Troops,Bomber,10,732,100,1000000,2d,5
Builder Base Troops,Bomber,11,805,110,1200000,2d,6
Builder Base Troops,Bomber,12,805,110,1400000,2d 12h,6
Builder Base Troops,Bomber,13,886,120,2200000,3d 12h,7
Builder Base Troops,Bomber,14,886,120,2400000,4d 12h,7
Builder Base Troops,Bomber,15,974,130,3200000,5d 12h,8
Builder Base Troops,Bomber,16,974,130,3400000,5d 12h,8
Builder Base Troops,Bomber,17,1072,140,3900000,6d,9
Builder Base Troops,Bomber,18,1072,140,4100000,6d,9
Builder Base Troops,Bomber,19,1179,150,4700000,6d 12h,10
Builder Base Troops,Bomber,20,1179,150,5300000,6d 12h,10
Builder Base Troops,Boxer Giant,3,2530,65,N/A,N/A,N/A
Builder Base Troops,Boxer Giant,4,2530,65,60000,5h,3
Builder Base Troops,Boxer Giant,5,2783,70,120000,10h,3
Builder Base Troops,Boxer Giant,6,2783,70,240000,16h,3
Builder Base Troops,Boxer Giant,7,3061,76,350000,20h,4
Builder Base Troops,Boxer Giant,8,3061,76,380000,1d,4
Builder Base Troops,Boxer Giant,9,3367,83,1000000,1d 12h,5
Builder Base Troops,Boxer Giant,10,3367,83,1200000,2d,5
Builder Base Troops,Boxer Giant,11,3704,91,1300000,2d,6
Builder Base Troops,Boxer Giant,12,3704,91,1500000,2d 12h,6
Builder Base Troops,Boxer Giant,13,4075,100,2300000,3d 12h,7
Builder Base Troops,Boxer Giant,14,4075,100,2500000,4d 12h,7
Builder Base Troops,Boxer Giant,15,4482,109,3300000,5d 12h,8
Builder Base Troops,Boxer Giant,16,4482,109,3500000,5d 12h,8
Builder Base Troops,Boxer Giant,17,4930,119,4000000,6d,9
Builder Base Troops,Boxer Giant,18,4930,119,4200000,6d,9
Builder Base Troops,Boxer Giant,19,5423,129,4800000,6d 12h,10
Builder Base Troops,Boxer Giant,20,5423,129,5400000,6d 12h,10
Builder Base Troops,Cannon Cart,7,666,115,N/A,N/A,N/A
Builder Base Troops,Cannon Cart,8,666,115,1000000,1d,5
Builder Base Troops,Cannon Cart,9,732,130,1100000,1d 12h,5
Builder Base Troops,Cannon Cart,10,732,130,1200000,2d,5
Builder Base Troops,Cannon Cart,11,805,150,1400000,2d,6
Builder Base Troops,Cannon Cart,12,805,150,1600000,2d 12h,6
Builder Base Troops,Cannon Cart,13,886,170,2400000,3d 12h,7
Builder Base Troops,Cannon Cart,14,886,170,2600000,4d 12h,7
Builder Base Troops,Cannon Cart,15,974,190,3400000,5d 12h,8
Builder Base Troops,Cannon Cart,16,974,190,3600000,5d 12h,8
Builder Base Troops,Cannon Cart,17,1072,215,4100000,6d,9
Builder Base Troops,Cannon Cart,18,1072,215,4300000,6d,9
Builder Base Troops,Cannon Cart,19,1179,240,5300000,6d 12h,10
Builder Base Troops,Cannon Cart,20,1179,240,5700000,6d 12h,10
Builder Base Troops,Drop Ship,11,3400,,N/A,N/A,N/A
Builder Base Troops,Drop Ship,12,3400,,2400000,2d 12h,7
Builder Base Troops,Drop Ship,13,3740,,2600000,3d 12h,7
Builder Base Troops,Drop Ship,14,3740,,2800000,4d 12h,7
Builder Base Troops,Drop Ship,15,4114,,3600000,5d 12h,8
Builder Base Troops,Drop Ship,16,4114,,3800000,5d 12h,8
Builder Base Troops,Drop Ship,17,4525,,4300000,6d,9
Builder Base Troops,Drop Ship,18,4525,,4500000,6d,9
Builder Base Troops,Drop Ship,19,4978,,5500000,6d 12h,10
Builder Base Troops,Drop Ship,20,4978,,5700000,6d 12h,10
Builder Base Troops,Electrofire Wizard,17,1100,,N/A,N/A,N/A
Builder Base Troops,Electrofire Wizard,18,1100,,4400000,6d,10
Builder Base Troops,Electrofire Wizard,19,1210,,5400000,6d 12h,10
Builder Base Troops,Electrofire Wizard,20,1210,,5800000,6d 12h,10
Builder Base Troops,Hog Glider,15,600,,N/A,N/A,N/A
Builder Base Troops,Hog Glider,16,650,,4000000,5d 12h,9
Builder Base Troops,Hog Glider,17,650,,4200000,6d,9
Builder Base Troops,Hog Glider,18,650,,4400000,6d,9
Builder Base Troops,Hog Glider,19,650,,5400000,6d 12h,10
Builder Base Troops,Hog Glider,20,700,,5800000,6d 12h,10
Builder Base Troops,Night Witch,9,750,176,N/A,N/A,N/A
Builder Base Troops,Night Witch,10,750,176,1400000,2d,6
Builder Base Troops,Night Witch,11,830,193,1600000,2d,6
Builder Base Troops,Night Witch,12,830,193,1800000,2d 12h,6
Builder Base Troops,Night Witch,13,915,216,2500000,3d 12h,7
Builder Base Troops,Night Witch,14,915,216,2700000,4d 12h,7
Builder Base Troops,Night Witch,15,1000,234,3500000,5d 12h,8
Builder Base Troops,Night Witch,16,1000,234,3700000,5d 12h,8
Builder Base Troops,Night Witch,17,1100,257,4200000,6d,9
Builder Base Troops,Night Witch,18,1100,257,4400000,6d,9
Builder Base Troops,Night Witch,19,1220,278,5200000,6d 12h,10
Builder Base Troops,Night Witch,20,1220,278,5600000,6d 12h,10
Builder Base Troops,Power P.E.K.K.A,13,3900,420,N/A,N/A,N/A
Builder Base Troops,Power P.E.K.K.A,14,3900,420,3600000,4d 12h,8
Builder Base Troops,Power P.E.K.K.A,15,4290,460,3800000,5d 12h,8
Builder Base Troops,Power P.E.K.K.A,16,4290,460,4000000,5d 12h,8
Builder Base Troops,Power P.E.K.K.A,17,4719,500,4600000,6d,9
Builder Base Troops,Power P.E.K.K.A,18,4719,500,4800000,6d,9
Builder Base Troops,Power P.E.K.K.A,19,5191,560,5600000,6d 12h,10
Builder Base Troops,Power P.E.K.K.A,20,5191,560,5800000,6d 12h,10
Builder Base Troops,Raged Barbarian,1,500,45,N/A,N/A,N/A
Builder Base Troops,Raged Barbarian,2,500,45,3500,30s,1
Builder Base Troops,Raged Barbarian,3,550,58,7000,5m,2
Builder Base Troops,Raged Barbarian,4,550,58,10000,15m,2
Builder Base Troops,Raged Barbarian,5,605,70,90000,5h,3
Builder Base Troops,Raged Barbarian,6,605,70,180000,10h,3
Builder Base Troops,Raged Barbarian,7,666,83,300000,15h,4
Builder Base Troops,Raged Barbarian,8,666,83,330000,20h,4
Builder Base Troops,Raged Barbarian,9,732,93,700000,1d,5
Builder Base Troops,Raged Barbarian,10,732,93,900000,1d 12h,5
Builder Base Troops,Raged Barbarian,11,805,103,1000000,2d,6
Builder Base Troops,Raged Barbarian,12,805,103,1200000,2d 12h,6
Builder Base Troops,Raged Barbarian,13,886,112,2000000,3d 12h,7
Builder Base Troops,Raged Barbarian,14,886,112,2200000,4d 12h,7
Builder Base Troops,Raged Barbarian,15,974,120,3000000,5d 12h,8
Builder Base Troops,Raged Barbarian,16,974,120,3200000,5d 12h,8
Builder Base Troops,Raged Barbarian,17,1072,128,3800000,6d,9
Builder Base Troops,Raged Barbarian,18,1072,128,4000000,6d,9
Builder Base Troops,Raged Barbarian,19,1179,136,4600000,6d 12h,10
Builder Base Troops,Raged Barbarian,20,1179,136,5200000,6d 12h,10
Builder Base Troops,Sneaky Archer,1,196,60,N/A,N/A,N/A
Builder Base Troops,Sneaky Archer,2,196,60,5000,3m,1
Builder Base Troops,Sneaky Archer,3,216,66,8000,10m,2
Builder Base Troops,Sneaky Archer,4,216,66,12000,30m,2
Builder Base Troops,Sneaky Archer,5,237,72,100000,6h,3
Builder Base Troops,Sneaky Archer,6,237,72,200000,11h,3
Builder Base Troops,Sneaky Archer,7,261,79,320000,16h,4
Builder Base Troops,Sneaky Archer,8,261,79,350000,21h,4
Builder Base Troops,Sneaky Archer,9,287,86,800000,1d,5
Builder Base Troops,Sneaky Archer,10,287,86,1000000,1d 12h,5
Builder Base Troops,Sneaky Archer,11,316,95,1100000,2d,6
Builder Base Troops,Sneaky Archer,12,316,95,1300000,2d 12h,6
Builder Base Troops,Sneaky Archer,13,347,104,2100000,3d 12h,7
Builder Base Troops,Sneaky Archer,14,347,104,2300000,4d 12h,7
Builder Base Troops,Sneaky Archer,15,382,112,3100000,5d 12h,8
Builder Base Troops,Sneaky Archer,16,382,112,3300000,5d 12h,8
Builder Base Troops,Sneaky Archer,17,420,119,3900000,6d,9
Builder Base Troops,Sneaky Archer,18,420,119,4100000,6d,9
Builder Base Troops,Sneaky Archer,19,462,125,4700000,6d 12h,10
Builder Base Troops,Sneaky Archer,20,462,125,5300000,6d 12h,10
Defenses,Air Defense,1,800,80,22000,1h,4
Defenses,Air Defense,2,850,110,90000,2h,4
Defenses,Air Defense,3,900,140,210000,6h,5
Defenses,Air Defense,4,950,160,500000,12h,6
Defenses,Air Defense,5,1000,190,800000,18h,7
Defenses,Air Defense,6,1050,230,1000000,1d,8
Defenses,Air Defense,7,1100,280,1750000,2d,9
Defenses,Air Defense,8,1210,320,2300000,2d 12h,10
Defenses,Air Defense,9,1300,360,3400000,3d,11
Defenses,Air Defense,10,1400,400,5000000,4d,12
Defenses,Air Defense,11,1500,440,5600000,4d 12h,13
Defenses,Air Defense,12,1650,500,6500000,5d,14
Defenses,Air Defense,13,1750,540,8000000,6d,15
Defenses,Air Defense,14,1850,600,9000000,6d 12h,16
Defenses,Air Defense,15,1950,650,15000000,7d,17
Defenses,Air Defense,16,2000,700,26000000,13d 6h,18
Defenses,Air Sweeper,1,750,,200000,4h,6
Defenses,Air Sweeper,2,800,,300000,6h,6
Defenses,Air Sweeper,3,850,,450000,8h,7
Defenses,Air Sweeper,4,900,,800000,12h,8
Defenses,Air Sweeper,5,950,,1200000,1d,9
Defenses,Air Sweeper,6,1000,,1900000,2d,10
Defenses,Air Sweeper,7,1050,,3400000,3d,11
Defenses,Archer Tower,1,380,11,1000,15s,2
Defenses,Archer Tower,2,420,15,2000,2m,2
Defenses,Archer Tower,3,460,19,5000,20m,3
Defenses,Archer Tower,4,500,25,20000,1h,4
Defenses,Archer Tower,5,540,30,70000,1h 30m,5
Defenses,Archer Tower,6,580,35,80000,2h,5
Defenses,Archer Tower,7,630,42,150000,3h,6
Defenses,Archer Tower,8,690,48,200000,4h,7
Defenses,Archer Tower,9,750,56,400000,5h,8
Defenses,Archer Tower,10,810,63,460000,6h,8
Defenses,Archer Tower,11,890,70,600000,7h,9
Defenses,Archer Tower,12,970,74,700000,8h,10
Defenses,Archer Tower,13,1050,78,1000000,10h,10
Defenses,Archer Tower,14,1130,82,1100000,11h,11
Defenses,Archer Tower,15,1230,85,1300000,12h,11
Defenses,Archer Tower,16,1310,90,1600000,16h,12
Defenses,Archer Tower,17,1390,100,1800000,20h,12
Defenses,Archer Tower,18,1510,110,2000000,1d,13
Defenses,Archer Tower,19,1600,120,2200000,1d 6h,13
Defenses,Archer Tower,20,1700,135,3000000,1d 12h,14
Defenses,Archer Tower,21,1800,145,4000000,2d,15
Defenses,Bomb Tower,1,650,24,700000,12h,8
Defenses,Bomb Tower,2,700,28,1000000,18h,8
Defenses,Bomb Tower,3,750,32,1300000,1d,9
Defenses,Bomb Tower,4,850,40,1800000,1d 12h,10
Defenses,Bomb Tower,5,1050,48,1900000,1d 18h,11
Defenses,Bomb Tower,6,1300,56,2000000,2d,11
Defenses,Bomb Tower,7,1600,64,4000000,3d,12
Defenses,Bomb Tower,8,1900,72,5000000,3d 12h,13
Defenses,Bomb Tower,9,2300,84,6000000,4d,14
Defenses,Bomb Tower,10,2500,94,7000000,4d 12h,15
Defenses,Bomb Tower,11,2700,104,8500000,5d,16
Defenses,Bomb Tower,12,2900,114,14500000,7d,17
Defenses,Bomb Tower,13,3050,122,25000000,13d,18
Defenses,Cannon,1,300,7,250,5s,1
Defenses,Cannon,2,360,10,1000,30s,1
Defenses,Cannon,3,420,13,4000,2m,2
Defenses,Cannon,4,500,17,16000,20m,3
Defenses,Cannon,5,600,23,50000,30m,4
Defenses,Cannon,6,660,30,60000,1h,5
Defenses,Cannon,7,730,40,100000,2h,6
Defenses,Cannon,8,800,48,160000,3h,7
Defenses,Cannon,9,880,56,250000,3h 30m,8
Defenses,Cannon,10,960,64,330000,4h,8
Defenses,Cannon,11,1060,74,500000,4h 30m,9
Defenses,Cannon,12,1160,85,600000,5h,10
Defenses,Cannon,13,1260,95,660000,6h,10
Defenses,Cannon,14,1380,100,1000000,8h,11
Defenses,Cannon,15,1500,105,1200000,10h,11
Defenses,Cannon,16,1620,110,1300000,11h,12
Defenses,Cannon,17,1740,115,1500000,12h,12
Defenses,Cannon,18,1870,125,1800000,16h,13
Defenses,Cannon,19,2000,135,2000000,20h,13
Defenses,Cannon,20,2150,150,2600000,1d,14
Defenses,Cannon,21,2250,160,3000000,1d 12h,15
Defenses,Eagle Artillery,1,4000,67,5000000,4d,11
Defenses,Eagle Artillery,2,4400,75,6000000,5d,11
Defenses,Eagle Artillery,3,4800,82,9000000,7d,12
Defenses,Eagle Artillery,4,5200,105,10000000,7d 12h,13
Defenses,Eagle Artillery,5,5600,127,12000000,8d,14
Defenses,Eagle Artillery,6,5900,142,13000000,9d,15
Defenses,Eagle Artillery,7,6200,157,14000000,9d 12h,16
Defenses,Hidden Tesla,1,600,34,250000,2h,7
Defenses,Hidden Tesla,2,630,40,350000,3h,7
Defenses,Hidden Tesla,3,660,48,500000,4h,7
Defenses,Hidden Tesla,4,690,55,600000,6h,8
Defenses,Hidden Tesla,5,730,64,800000,12h,8
Defenses,Hidden Tesla,6,770,75,1200000,1d,8
Defenses,Hidden Tesla,7,810,87,1400000,1d 6h,9
Defenses,Hidden Tesla,8,850,99,1600000,1d 12h,10
Defenses,Hidden Tesla,9,900,110,2100000,1d 18h,11
Defenses,Hidden Tesla,10,980,120,3000000,2d,12
Defenses,Hidden Tesla,11,1100,130,3100000,2d 12h,13
Defenses,Hidden Tesla,12,1200,140,3700000,3d,13
Defenses,Hidden Tesla,13,1350,150,5100000,3d 12h,14
Defenses,Hidden Tesla,14,1450,160,6500000,4d,15
Defenses,Hidden Tesla,15,1550,170,8200000,5d,16
Defenses,Hidden Tesla,16,1650,180,15000000,7d,17
Defenses,Hidden Tesla,17,1750,190,25000000,13d,18
Defenses,Inferno Tower,1,1500,30 / 80 / 800,1000000,12h,10
Defenses,Inferno Tower,2,1800,35 / 100 / 1000,1200000,1d,10
Defenses,Inferno Tower,3,2100,40 / 120 / 1200,2400000,2d,10
Defenses,Inferno Tower,4,2400,45 / 140 / 1400,3400000,2d 12h,11
Defenses,Inferno Tower,5,2700,50 / 150 / 1500,4200000,3d,11
Defenses,Inferno Tower,6,3000,55 / 160 / 1600,6000000,4d,12
Defenses,Inferno Tower,7,3300,65 / 180 / 1800,8000000,5d,13
Defenses,Inferno Tower,8,3700,80 / 210 / 2100,9500000,6d,14
Defenses,Inferno Tower,9,4000,100 / 230 / 2300,10000000,6d 12h,15
Defenses,Inferno Tower,10,4400,120 / 260 / 2600,11000000,7d,16
Defenses,Inferno Tower,11,4800,140 / 290 / 2900,16000000,8d,17
Defenses,Inferno Tower,12,5100,155 / 330 / 3300,26500000,13d 12h,18
Defenses,Monolith,1,4747,150,200000,7d,15
Defenses,Monolith,2,5050,175,250000,8d,15
Defenses,Monolith,3,5353,193,260000,9d,16
Defenses,Monolith,4,5656,209,300000,11d,17
Defenses,Mortar,1,400,4,5000,30m,3
Defenses,Mortar,2,450,5,25000,1h,4
Defenses,Mortar,3,500,6,90000,2h,5
Defenses,Mortar,4,550,7,180000,3h,6
Defenses,Mortar,5,600,9,300000,6h,7
Defenses,Mortar,6,650,11,500000,8h,8
Defenses,Mortar,7,700,15,900000,12h,9
Defenses,Mortar,8,800,20,1200000,18h,10
Defenses,Mortar,9,950,25,1600000,20h,11
Defenses,Mortar,10,1100,30,1800000,1d,11
Defenses,Mortar,11,1300,35,2300000,1d 6h,12
