Category,Building,Level,Hitpoints,DPS,Cost,Time,Required Town Hall
Builder Base,Giant Cannon,2,800,,2100000,2d,7
Builder Base,Giant Cannon,3,950,,2200000,3d,7
Builder Base,Giant Cannon,4,1100,,2300000,4d,7
Builder Base,Giant Cannon,5,1300,,2400000,5d,7
Builder Base,Giant Cannon,6,1500,,2500000,6d,7
Builder Base,Giant Cannon,7,1700,,2700000,8d,7
Builder Base,Giant Cannon,8,1900,,3800000,10d,8
Builder Base,Giant Cannon,9,2150,,4700000,11d,9
Builder Base,Giant Cannon,10,2400,,5700000,12d,10
Builder Base,Gold Mine,1,300,,1000,10m,1
Builder Base,Gold Mine,2,350,,5000,20m,3
Builder Base,Gold Mine,3,400,,10000,40m,3
Builder Base,Gold Mine,4,460,,30000,2h,4
Builder Base,Gold Mine,5,550,,60000,6h,5
Builder Base,Gold Mine,6,650,,100000,1d,6
Builder Base,Gold Mine,7,750,,200000,1d 12h,7
Builder Base,Gold Mine,8,850,,300000,2d,8
Builder Base,Gold Mine,9,1000,,400000,2d 12h,9
Builder Base,Gold Mine,10,1150,,800000,3d,10
Builder Base,Gold Storage,1,650,,20000,30m,3
Builder Base,Gold Storage,2,800,,80000,1h,3
Builder Base,Gold Storage,3,975,,200000,3h,3
Builder Base,Gold Storage,4,1150,,300000,6h,4
Builder Base,Gold Storage,5,1350,,600000,12h,5
Builder Base,Gold Storage,6,1600,,1000000,1d,6
Builder Base,Gold Storage,7,1850,,1500000,2d,7
Builder Base,Gold Storage,8,2150,,2000000,3d,8
Builder Base,Gold Storage,9,2450,,2500000,4d,9
Builder Base,Gold Storage,10,2750,,3200000,5d,10
Builder Base,Guard Post,1,300,,200000,4h,4
Builder Base,Guard Post,2,350,,240000,8h,4
Builder Base,Guard Post,3,400,,280000,12h,4
Builder Base,Guard Post,4,460,,320000,1d,4
Builder Base,Guard Post,5,550,,1000000,2d,5
Builder Base,Guard Post,6,650,,1400000,4d,6
Builder Base,Guard Post,7,750,,2300000,6d,7
Builder Base,Guard Post,8,850,,3200000,8d,8
Builder Base,Guard Post,9,1000,,4100000,10d,9
Builder Base,Guard Post,10,1150,,5100000,12d,10
Builder Base,Healing Hut,1,550,,1500000,1d 6h,6
Builder Base,Healing Hut,2,650,,2000000,2d,6
Builder Base,Healing Hut,3,750,,2500000,3d,7
Builder Base,Healing Hut,4,850,,3250000,4d,8
Builder Base,Healing Hut,5,1000,,4000000,5d,9
Builder Base,Healing Hut,6,1150,,5000000,6d,10
Builder Base,Hidden Tesla,1,300,,50000,30m,3
Builder Base,Hidden Tesla,2,350,,100000,3h,3
Builder Base,Hidden Tesla,3,400,,150000,5h,3
Builder Base,Hidden Tesla,4,460,,280000,10h,4
Builder Base,Hidden Tesla,5,550,,700000,1d,5
Builder Base,Hidden Tesla,6,650,,1300000,2d,6
Builder Base,Hidden Tesla,7,750,,2100000,4d,7
Builder Base,Hidden Tesla,8,850,,3100000,6d,8
Builder Base,Hidden Tesla,9,1000,,4100000,8d,9
Builder Base,Hidden Tesla,10,1150,,5100000,10d,10
Builder Base,Lava Launcher,1,500,,3000000,2d,9
Builder Base,Lava Launcher,2,575,,3100000,3d,9
Builder Base,Lava Launcher,3,660,,3200000,4d,9
Builder Base,Lava Launcher,4,760,,3400000,5d,9
Builder Base,Lava Launcher,5,875,,3700000,6d,9
Builder Base,Lava Launcher,6,1050,,4000000,7d,9
Builder Base,Lava Launcher,7,1250,,4300000,8d,9
Builder Base,Lava Launcher,8,1450,,4600000,10d,9
Builder Base,Lava Launcher,9,1650,,4900000,11d,9
Builder Base,Lava Launcher,10,1850,,5900000,12d,10
Builder Base,Mega Tesla,1,700,,3000000,2d,8
Builder Base,Mega Tesla,2,800,,3100000,3d,8
Builder Base,Mega Tesla,3,950,,3200000,4d,8
Builder Base,Mega Tesla,4,1100,,3300000,5d,8
Builder Base,Mega Tesla,5,1300,,3400000,6d,8
Builder Base,Mega Tesla,6,1500,,3600000,7d,8
Builder Base,Mega Tesla,7,1700,,3800000,8d,8
Builder Base,Mega Tesla,8,1900,,4000000,10d,8
Builder Base,Mega Tesla,9,2150,,4800000,11d,9
Builder Base,Mega Tesla,10,2400,,5800000,12d,10
Builder Base,Multi Mortar,1,500,,600000,8h,5
Builder Base,Multi Mortar,2,575,,700000,12h,5
Builder Base,Multi Mortar,3,660,,800000,1d,5
Builder Base,Multi Mortar,4,760,,1000000,2d,5
Builder Base,Multi Mortar,5,875,,1200000,3d,5
Builder Base,Multi Mortar,6,1050,,1600000,5d,6
Builder Base,Multi Mortar,7,1250,,2500000,7d,7
Builder Base,Multi Mortar,8,1450,,3500000,9d,8
Builder Base,Multi Mortar,9,1650,,4500000,11d,9
Builder Base,Multi Mortar,10,1850,,5500000,12d,10
Builder Base,OTTOs Outpost,1,650,,N/A,N/A,6
Builder Base,OTTOs Outpost,2,800,,1000000,1d,6
Builder Base,OTTOs Outpost,3,975,,1250000,2d,6
Builder Base,OTTOs Outpost,4,1150,,1500000,3d,6
Builder Base,OTTOs Outpost,5,1350,,1750000,4d,6
Builder Base,OTTOs Outpost,6,1600,,2000000,5d,6
Builder Base,OTTOs Outpost,7,1850,,3000000,7d,7
Builder Base,OTTOs Outpost,8,2150,,4000000,9d,8
Builder Base,OTTOs Outpost,9,2450,,5000000,10d,9
Builder Base,OTTOs Outpost,10,2750,,6000000,11d,10
Builder Base,Reinforcement Camp,1,300,,1500000,Instant,1
Builder Base,Roaster,1,800,,1000000,1d,6
Builder Base,Roaster,2,950,,1200000,2d,6
Builder Base,Roaster,3,1100,,1400000,3d,6
Builder Base,Roaster,4,1300,,1500000,4d,6
Builder Base,Roaster,5,1500,,1600000,5d,6
Builder Base,Roaster,6,1700,,1700000,6d,6
Builder Base,Roaster,7,1900,,2600000,8d,7
Builder Base,Roaster,8,2100,,3600000,10d,8
Builder Base,Roaster,9,2350,,4600000,11d,9
Builder Base,Roaster,10,2600,,5600000,12d,10
Builder Base,Star Laboratory,1,650,,1000,Instant,1
Builder Base,Star Laboratory,2,800,,15000,10m,2
Builder Base,Star Laboratory,3,975,,50000,30m,3
Builder Base,Star Laboratory,4,1150,,300000,8h,4
Builder Base,Star Laboratory,5,1350,,700000,12h,5
Builder Base,Star Laboratory,6,1600,,1000000,2d,6
Builder Base,Star Laboratory,7,1850,,2000000,4d,7
Builder Base,Star Laboratory,8,2150,,3000000,6d,8
Builder Base,Star Laboratory,9,2450,,4000000,8d,9
Builder Base,Star Laboratory,10,2750,,5000000,10d,10
Builder Base,Wall,1,900,,N/A,N/A,2
Builder Base,Wall,2,1100,,2000,Instant,3
Builder Base,Wall,3,1300,,10000,Instant,3
Builder Base,Wall,4,1600,,50000,Instant,4
Builder Base,Wall,5,1900,,150000,Instant,5
Builder Base,Wall,6,2200,,240000,Instant,6
Builder Base,Wall,7,2500,,400000,Instant,7
Builder Base,Wall,8,2750,,600000,Instant,8
Builder Base,Wall,9,3050,,800000,Instant,9
Builder Base,Wall,10,3350,,1000000,Instant,10
Builder Base,X-Bow,1,1700,80,4400000,7d,10
Builder Base,X-Bow,2,1900,89,4800000,8d,10
Builder Base,X-Bow,3,2100,97,5200000,10d,10
Builder Base,X-Bow,4,2350,107,5600000,11d,10
Builder Base,X-Bow,5,2600,117,6000000,12d,10
Builder Base Traps,Mega Mine,1,,,30000,30m,4
Builder Base Traps,Mega Mine,2,,,40000,1h,4
Builder Base Traps,Mega Mine,3,,,50000,3h,4
Builder Base Traps,Mega Mine,4,,,80000,6h,4
Builder Base Traps,Mega Mine,5,,,120000,12h,5
Builder Base Traps,Mega Mine,6,,,300000,1d,6
Builder Base Traps,Mega Mine,7,,,600000,1d 12h,7
Builder Base Traps,Mega Mine,8,,,1000000,2d,8
Builder Base Traps,Mega Mine,9,,,1400000,3d,9
Builder Base Traps,Mega Mine,10,,,2500000,4d,10
Builder Base Traps,Mine,1,,,5000,10m,3
Builder Base Traps,Mine,2,,,10000,30m,3
Builder Base Traps,Mine,3,,,15000,1h,3
Builder Base Traps,Mine,4,,,25000,2h,4
Builder Base Traps,Mine,5,,,50000,6h,5
Builder Base Traps,Mine,6,,,80000,12h,6
Builder Base Traps,Mine,7,,,120000,1d,7
Builder Base Traps,Mine,8,,,250000,1d 12h,8
Builder Base Traps,Mine,9,,,500000,2d,9
Builder Base Traps,Mine,10,,,1500000,2d 12h,10
Builder Base Traps,Push Trap,1,,,1000,2m,2
Builder Base Traps,Push Trap,2,,,3000,5m,3
Builder Base Traps,Push Trap,3,,,10000,20m,3
Builder Base Traps,Push Trap,4,,,20000,2h,4
Builder Base Traps,Push Trap,5,,,40000,4h,5
Builder Base Traps,Push Trap,6,,,60000,12h,6
Builder Base Traps,Push Trap,7,,,100000,16h,7
Builder Base Traps,Push Trap,8,,,200000,1d,8
Builder Base Traps,Push Trap,9,,,300000,1d 12h,9
Builder Base Traps,Push Trap,10,,,500000,2d,10
Builder Base Traps,Spring Trap,1,,,10000,30m,3
Builder Base Traps,Spring Trap,2,,,30000,1h,4
Builder Base Traps,Spring Trap,3,,,100000,1d,6
Builder Base Traps,Spring Trap,4,,,300000,2d,8
Builder Base Traps,Spring Trap,5,,,500000,3d,10
Builder Base Troops,Baby Dragon,1,2358,120,N/A,N/A,1
Builder Base Troops,Bat,1,10,20,N/A,N/A,1
Builder Base Troops,Beta Minion,1,429,126,N/A,N/A,1
Builder Base Troops,Bomber,1,1179,150,N/A,N/A,1
Builder Base Troops,Boxer Giant,1,5423,129,N/A,N/A,1
Builder Base Troops,Cannon Cart,1,1179,240,N/A,N/A,1
Builder Base Troops,Drop Ship,1,4978,10,N/A,N/A,1
Builder Base Troops,Drop Ship Skeleton,1,10,20,N/A,N/A,1
Builder Base Troops,Electrofire Wizard,1,1210,253,N/A,N/A,1
Builder Base Troops,Enraged Bat,1,10,20,N/A,N/A,1
Builder Base Troops,Hog Glider,1,700,1300,N/A,N/A,1
Builder Base Troops,Hog Rider,1,1533,139,N/A,N/A,1
Builder Base Troops,MovingCannonSecondary,1,300,297,N/A,N/A,1
Builder Base Troops,Night Witch,1,1220,278,N/A,N/A,1
Builder Base Troops,Power P.E.K.K.A,1,5191,560,N/A,N/A,1
Builder Base Troops,Raged Barbarian,1,1179,136,N/A,N/A,1
Builder Base Troops,Sneaky Archer,1,462,125,N/A,N/A,1
Builder Base Troops,Zappy,1,518,80,N/A,N/A,1
Defenses,Air Defense,1,800,80,22000,1h,4
Defenses,Air Defense,2,850,110,90000,2h,4
Defenses,Air Defense,3,900,140,210000,6h,5
Defenses,Air Defense,4,950,160,500000,12h,6
Defenses,Air Defense,5,1000,190,800000,18h,7
Defenses,Air Defense,6,1050,230,1000000,1d,8
Defenses,Air Defense,7,1100,280,1750000,2d,9
Defenses,Air Defense,8,1210,320,2300000,2d 12h,10
Defenses,Air Defense,9,1300,360,3400000,3d,11
Defenses,Air Defense,10,1400,400,5000000,4d,12
Defenses,Air Defense,11,1500,440,5600000,4d 12h,13
Defenses,Air Defense,12,1650,500,6500000,5d,14
Defenses,Air Defense,13,1750,540,8000000,6d,15
Defenses,Air Defense,14,1850,600,9000000,6d 12h,16
Defenses,Air Defense,15,1950,650,15000000,7d,17
Defenses,Air Defense,16,2000,700,26000000,13d 6h,18
Defenses,Air Sweeper,1,750,,200000,4h,6
Defenses,Air Sweeper,2,800,,300000,6h,6
Defenses,Air Sweeper,3,850,,450000,8h,7
Defenses,Air Sweeper,4,900,,800000,12h,8
Defenses,Air Sweeper,5,950,,1200000,1d,9
Defenses,Air Sweeper,6,1000,,1900000,2d,10
Defenses,Air Sweeper,7,1050,,3400000,3d,11
Defenses,Archer Tower,1,380,11,1000,15s,2
Defenses,Archer Tower,2,420,15,2000,2m,2
Defenses,Archer Tower,3,460,19,5000,20m,3
Defenses,Archer Tower,4,500,25,20000,1h,4
Defenses,Archer Tower,5,540,30,70000,1h 30m,5
Defenses,Archer Tower,6,580,35,80000,2h,5
Defenses,Archer Tower,7,630,42,150000,3h,6
Defenses,Archer Tower,8,690,48,200000,4h,7
Defenses,Archer Tower,9,750,56,400000,5h,8
Defenses,Archer Tower,10,810,63,460000,6h,8
Defenses,Archer Tower,11,890,70,600000,7h,9
Defenses,Archer Tower,12,970,74,700000,8h,10
Defenses,Archer Tower,13,1050,78,1000000,10h,10
Defenses,Archer Tower,14,1130,82,1100000,11h,11
Defenses,Archer Tower,15,1230,85,1300000,12h,11
Defenses,Archer Tower,16,1310,90,1600000,16h,12
Defenses,Archer Tower,17,1390,100,1800000,20h,12
Defenses,Archer Tower,18,1510,110,2000000,1d,13
Defenses,Archer Tower,19,1600,120,2200000,1d 6h,13
Defenses,Archer Tower,20,1700,135,3000000,1d 12h,14
Defenses,Archer Tower,21,1800,145,4000000,2d,15
Defenses,Bomb Tower,1,650,24,700000,12h,8
Defenses,Bomb Tower,2,700,28,1000000,18h,8
Defenses,Bomb Tower,3,750,32,1300000,1d,9
Defenses,Bomb Tower,4,850,40,1800000,1d 12h,10
Defenses,Bomb Tower,5,1050,48,1900000,1d 18h,11
Defenses,Bomb Tower,6,1300,56,2000000,2d,11
Defenses,Bomb Tower,7,1600,64,4000000,3d,12
Defenses,Bomb Tower,8,1900,72,5000000,3d 12h,13
Defenses,Bomb Tower,9,2300,84,6000000,4d,14
Defenses,Bomb Tower,10,2500,94,7000000,4d 12h,15
Defenses,Bomb Tower,11,2700,104,8500000,5d,16
Defenses,Bomb Tower,12,2900,114,14500000,7d,17
Defenses,Bomb Tower,13,3050,122,25000000,13d,18
Defenses,Cannon,1,300,7,250,5s,1
Defenses,Cannon,2,360,10,1000,30s,2
Defenses,Cannon,3,420,13,4000,2m,2
Defenses,Cannon,4,500,17,16000,20m,3
Defenses,Cannon,5,600,23,50000,30m,4
Defenses,Cannon,6,660,30,60000,1h,5
Defenses,Cannon,7,730,40,100000,2h,6
Defenses,Cannon,8,800,48,160000,3h,7
Defenses,Cannon,9,880,56,250000,3h 30m,8
Defenses,Cannon,10,960,64,330000,4h,8
Defenses,Cannon,11,1060,74,500000,4h 30m,9
Defenses,Cannon,12,1160,85,600000,5h,10
Defenses,Cannon,13,1260,95,660000,6h,10
Defenses,Cannon,14,1380,100,1000000,8h,11
Defenses,Cannon,15,1500,105,1200000,10h,11
Defenses,Cannon,16,1620,110,1300000,11h,12
Defenses,Cannon,17,1740,115,1500000,12h,12
Defenses,Cannon,18,1870,125,1800000,16h,13
Defenses,Cannon,19,2000,135,2000000,20h,13
Defenses,Cannon,20,2150,150,2600000,1d,14
Defenses,Cannon,21,2250,160,3000000,1d 12h,15
Defenses,Crafting Station,1,1000,,N/A,N/A,17
Defenses,Eagle Artillery,1,4000,0,5000000,4d,11
Defenses,Eagle Artillery,2,4400,,6000000,5d,11
Defenses,Eagle Artillery,3,4800,,9000000,7d,12
Defenses,Eagle Artillery,4,5200,,10000000,7d 12h,13
Defenses,Eagle Artillery,5,5600,,12000000,8d,14
Defenses,Eagle Artillery,6,5900,,13000000,9d,15
Defenses,Eagle Artillery,7,6200,,14000000,9d 12h,16
Defenses,Firespitter,1,4500,411,17000000,8d 12h,17
Defenses,Hidden Tesla,1,600,34,250000,2h,7
Defenses,Hidden Tesla,2,630,40,350000,3h,7
Defenses,Hidden Tesla,3,660,48,500000,4h,7
Defenses,Hidden Tesla,4,690,55,600000,6h,8
Defenses,Hidden Tesla,5,730,64,800000,12h,8
Defenses,Hidden Tesla,6,770,75,1200000,1d,8
Defenses,Hidden Tesla,7,810,87,1400000,1d 6h,9
Defenses,Hidden Tesla,8,850,99,1600000,1d 12h,10
Defenses,Hidden Tesla,9,900,110,2100000,1d 18h,11
Defenses,Hidden Tesla,10,980,120,3000000,2d,12
Defenses,Hidden Tesla,11,1100,130,3100000,2d 12h,13
Defenses,Hidden Tesla,12,1200,140,3700000,3d,13
Defenses,Hidden Tesla,13,1350,150,5100000,3d 12h,14
Defenses,Hidden Tesla,14,1450,160,6500000,4d,15
Defenses,Hidden Tesla,15,1550,170,8200000,5d,16
Defenses,Hidden Tesla,16,1650,180,15000000,7d,17
Defenses,Hidden Tesla,17,1750,190,25000000,13d,18
Defenses,Inferno Tower,1,1500,30,1000000,12h,10
Defenses,Inferno Tower,2,1800,35,1200000,1d,10
Defenses,Inferno Tower,3,2100,40,2400000,2d,10
Defenses,Inferno Tower,4,2400,45,3400000,2d 12h,11
Defenses,Inferno Tower,5,2700,50,4000000,3d,11
Defenses,Inferno Tower,6,3000,55,6000000,4d,12
Defenses,Inferno Tower,7,3300,65,8000000,5d,13
Defenses,Inferno Tower,8,3700,80,9500000,6d,14
Defenses,Inferno Tower,9,4000,100,10000000,6d 12h,15
Defenses,Inferno Tower,10,4400,120,11000000,7d,16
Defenses,Inferno Tower,11,4800,140,16000000,8d,17
Defenses,Inferno Tower,12,5100,155,26500000,13d 12h,18
Defenses,Monolith,1,4747,150,200000,7d,15
Defenses,Monolith,2,5050,175,250000,8d,15
Defenses,Monolith,3,5353,193,260000,9d,16
Defenses,Monolith,4,5656,209,300000,11d,17
Defenses,Mortar,1,400,4,5000,30m,3
Defenses,Mortar,2,450,5,25000,1h,4
Defenses,Mortar,3,500,6,90000,2h,5
Defenses,Mortar,4,550,7,180000,3h,6
Defenses,Mortar,5,600,9,300000,6h,7
Defenses,Mortar,6,650,11,500000,8h,8
Defenses,Mortar,7,700,15,900000,12h,9
Defenses,Mortar,8,800,20,1200000,18h,10
